County,pop2012
Alamance,153265
Alexander,36922
Alleghany,10943
Anson,26309
Ashe,26924
Avery,17611
Beaufort,47431
Bertie,20494
Bladen,34807
Brunswick,112013
Buncombe,243655
Burke,89974
Cabarrus,184340
Caldwell,82081
Camden,10003
Carteret,67770
Caswell,23042
Catawba,154693
Chatham,64527
Cherokee,27034
Chowan,14695
Clay,10654
Cleveland,97317
Columbus,57534
Craven,105319
Cumberland,329985
Currituck,24025
Dare,34383
Davidson,163040
Davie,41281
Duplin,59449
Durham,282659
Edgecombe,55675
Forsyth,357598
Franklin,61405
Gaston,207903
Gates,11890
Graham,8707
Granville,57557
Greene,21191
Guilford,500514
Halifax,53732
Harnett,122204
Haywood,58640
Henderson,107768
Hertford,24600
Hoke,50483
Hyde,5689
Iredell,162670
Jackson,40636
Johnston,174383
Jones,10071
Lee,59240
Lenoir,59114
Lincoln,78729
McDowell,44999
Macon,33806
Madison,20882
Martin,23845
Mecklenburg,967063
Mitchell,15330
Montgomery,27522
Moore,90191
Nash,95187
New Hanover,209045
Northampton,21285
Onslow,190678
Orange,137817
Pamlico,13019
Pasquotank,40378
Pender,53714
Perquimans,13587
Person,39175
Pitt,172980
Polk,20249
Randolph,142270
Richmond,46359
Robeson,135462
Rockingham,92691
Rowan,137511
Rutherford,67215
Sampson,63708
Scotland,36093
Stanly,60462
Stokes,46731
Surry,73295
Swain,14053
Transylvania,32835
Tyrrell,4122
Union,208069
Vance,45093
Wake,952060
Warren,20764
Washington,12662
Watauga,52062
Wayne,124559
Wilkes,68906
Wilson,81396
Yadkin,38144
Yancey,17624
"ote: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",NA
uggested Citation:,NA
"nnual Estimates of the Resident Population for Counties in North Carolina: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-37)",NA
"ource: U.S. Census Bureau, Population Division",NA
elease Date: March 2020,NA
